1080p
4. <strong>StreetRacer</strong> | 20.67 | 17.53 | KFA2 EX GTX 1070 (2.037GHz-2.10GHz / 2.3GHz) | i5 3570K (4.7GHz) | 2x8GB 2400MHz | <strong>2763</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5512233#p5512233">link</a>
5. <strong>sajmonmofo</strong> | 19.54 | 16.71 | MSI 1070 GTX Gaming X 8GB (navita core +40, mem +400) | Ryzen 1700 (navit@3850mhz) | 2x8GB 3200MHz c14 | <strong>2611</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5512786#p5512786">link</a>
6. <strong>MacGyver141</strong> | 18.41 | 15.78 | GTX 1070 G1 Gaming (nenavita) | i5 6600K (4.2GHz) | 2x8GB 2133MHz | <strong>2461</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5508946#p5508946">link</a>
7. <strong>dolenc</strong> | 13.88 | 10.42 | Rx 480 8gb (navita) | i3 4160 (nenavit) | 2x4GB 1600MHz | <strong>1595</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5507885#p5507885">link</a>
8. <strong>Dr_M</strong> | 4.68 | 6.74 | MSI GTX 770 4GB (1280/8200) | i5 3570k (4800MHz) | 16GB DDR3 2000MHz | <strong>901</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5513682#p5513682">link</a>
9. <strong>pluto</strong> | 5.22 | 3.03 | ASUS R9 290 (1117/1325) | i7 4770 (nenavit) | 2x4GB,2x8GB 1600 | <strong>698</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5514409#p5514409">link</a>
10. <strong>galu</strong> | 1.63 | 1.50 | R9 290 (1069/1250 MHz) | i5 2500K (4.8GHz) | 12GB 1866MHz | <strong>217</strong> | <a href="https://slo-tech.com/forum/t698837/0/p5508557#p5508557">link</a>


Unnamed


